City,Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,,,
,,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,,,
,,,manslaughter,definition1),definition2),,,,,,theft,,,,,Lat,Long
Burr Ridge,"10,863",2,0,1,,0,1,89,7,73,9,0,"Burr Ridge, IL",41.7489203,-87.9183919,,
Byron,"3,628",2,0,0,,0,2,51,6,43,2,0,"Byron, IL",36.9019722,-98.2939595,,
Cahokia,"14,242",64,2,5,,36,21,668,186,449,33,6,"Cahokia, IL",38.6550643,#ERROR!,,
Cairo,"2,402",69,0,0,,4,65,93,25,66,2,2,"Cairo, IL",30.0444196,#ERROR!,,
Calumet City,"37,022",211,9,16,,137,49,"1,358",307,869,182,12,"Calumet City, IL",#ERROR!,#ERROR!,,
Cambria,"1,272",4,0,1,,0,3,5,3,2,0,1,"Cambria, IL",38.9313201,-97.5463885,,
Cambridge,"2,104",3,1,0,,0,2,17,5,12,0,0,"Cambridge, IL",52.2042666,#ERROR!,,
Camp Point,"1,123",0,0,0,,0,0,1,0,1,0,0,"Camp Point, IL",40.0392139,#ERROR!,,
Campton Hills,"11,390",4,0,3,,0,1,35,8,27,0,0,"Campton Hills, IL",41.9582863,#ERROR!,,
Canton,"14,116",14,0,2,,4,8,194,42,147,5,2,"Canton, IL",38.3861194,#ERROR!,,
Carbondale,"26,373",138,3,32,,38,65,844,171,649,24,2,"Carbondale, IL",37.7272727,-89.2167501,,
Carlinville,"5,615",19,0,0,,0,19,203,43,157,3,0,"Carlinville, IL",39.2797699,-89.8817662,,
Carlyle,"3,211",10,0,0,,2,8,59,5,53,1,0,"Carlyle, IL",#ERROR!,#ERROR!,,
Carol Stream,"40,473",36,0,3,,7,26,306,32,251,23,5,"Carol Stream, IL",#ERROR!,#ERROR!,,
Carpentersville,"38,664",31,1,14,,12,4,668,113,539,16,3,"Carpentersville, IL",42.1211364,-88.2578582,,
Carrollton,"2,418",15,0,3,,0,12,27,3,24,0,0,"Carrollton, IL",#ERROR!,-96.8899636,,
Carterville,"5,881",8,0,1,,0,7,55,11,39,5,0,"Carterville, IL",37.7600501,-89.0772991,,
Carthage,"2,534",1,0,0,,0,1,20,12,7,1,0,"Carthage, IL",36.8529199,#ERROR!,,
Cary,"17,903",20,0,1,,1,18,75,17,54,4,1,"Cary, IL",35.79154,#ERROR!,,
Caseyville,"4,003",31,0,4,,5,22,106,25,72,9,0,"Caseyville, IL",38.6367162,#ERROR!,,
Catlin,"2,000",3,0,0,,0,3,8,6,2,0,0,"Catlin, IL",41.2395342,-96.1136889,,
Centreville,"4,970",91,1,6,,15,69,172,70,83,19,0,"Centreville, IL",#ERROR!,#ERROR!,,
Champaign,"87,071",625,3,41,,124,457,"2,838",728,"1,979",131,3,"Champaign, IL",#ERROR!,-88.2433829,,
Channahon,"12,597",1,0,0,,0,1,34,6,27,1,0,"Channahon, IL",41.4294753,#ERROR!,,
Charleston,"21,067",79,0,4,,12,63,121,40,76,5,1,"Charleston, IL",32.7764749,#ERROR!,,
Chatham,"12,497",16,0,2,,0,14,71,12,56,3,0,"Chatham, IL",38.3085731,-77.4557041,,
Chenoa,"3,199",4,0,0,,1,3,18,3,15,0,0,"Chenoa, IL",40.5608168,-111.9155764,,
Cherry Valley,"3,086",18,0,4,,1,13,240,9,227,4,0,"Cherry Valley, IL",#ERROR!,#ERROR!,,
Chester,"8,590",18,1,1,,0,16,54,4,49,1,0,"Chester, IL",#ERROR!,-75.3557457,,
Chicago,"2,725,153","30,126",765,"1,589",,"11,957","15,815","86,960","14,258","61,229","11,473",590,"Chicago, IL",41.8781136,-87.6297982,,
Chicago Heights,"30,273",175,6,28,,74,67,805,126,597,82,37,"Chicago Heights, IL",41.506146,-87.6355995,,
Chicago Ridge,"14,383",29,0,2,,18,9,575,22,531,22,1,"Chicago Ridge, IL",#ERROR!,#ERROR!,,
Chillicothe,"6,253",21,0,5,,3,13,106,10,94,2,0,"Chillicothe, IL",39.3331197,-82.9824019,,
Christopher,"2,771",2,1,1,,0,0,18,5,13,0,0,"Christopher, IL",#ERROR!,-89.053408,,
Cicero,"83,807",264,1,17,,148,98,"1,713",284,"1,147",282,28,"Cicero, IL",41.8455877,#ERROR!,,
Clarendon Hills,"8,724",6,0,0,,1,5,32,9,23,0,1,"Clarendon Hills, IL",41.7975307,-87.9547835,,
Coal City,"5,469",5,0,0,,1,4,72,6,66,0,0,"Coal City, IL",41.2878096,-88.2856185,,
Coal Valley,"3,753",4,0,1,,0,3,51,18,33,0,0,"Coal Valley, IL",41.4286456,-90.4609648,,
Cobden,"1,136",4,0,0,,0,4,13,5,7,1,0,"Cobden, IL",#ERROR!,-89.253418,,
Colchester,"1,325",0,0,0,,0,0,0,0,0,0,0,"Colchester, IL",51.895927,#ERROR!,,
Collinsville,"24,599",53,0,10,,9,34,736,109,586,41,2,"Collinsville, IL",#ERROR!,#ERROR!,,
Colona,"5,096",6,0,0,,0,6,61,18,42,1,0,"Colona, IL",#ERROR!,#ERROR!,,
Columbia,"10,288",1,0,0,,0,1,79,22,52,5,0,"Columbia, IL",45.4488351,#ERROR!,,
Cortland,"4,331",2,0,0,,0,2,51,2,49,0,0,"Cortland, IL",42.6011813,#ERROR!,,
Country Club Hills,"16,844",74,1,6,,44,23,416,55,332,29,2,"Country Club Hills, IL",41.5680898,-87.7203257,,
Countryside,"6,015",7,0,0,,0,7,200,8,181,11,0,"Countryside, IL",#ERROR!,#ERROR!,,
Cowden,577,0,0,0,,0,0,5,1,3,1,0,"Cowden, IL",35.2908883,#ERROR!,,
Crest Hill,"21,211",28,0,5,,9,14,212,41,157,14,3,"Crest Hill, IL",41.554753,-88.0986709,,
Crete,"8,171",16,0,0,,5,11,140,27,108,5,0,"Crete, IL",#ERROR!,#ERROR!,,
Creve Coeur,"5,235",45,0,2,,4,39,154,20,130,4,0,"Creve Coeur, IL",38.6608855,-90.422618,,
