City,Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,,,
,,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,,,
,,,manslaughter,definition1),definition2),,,,,,theft,,,,,Lat,Long
Itasca,"8,825",2,0,0,,2,0,78,8,66,4,0,"Itasca, IL",41.9750287,-88.0072909,,
Jacksonville,"19,039",61,0,6,,4,51,602,102,494,6,1,"Jacksonville, IL",#ERROR!,#ERROR!,,
Jerome,"1,645",2,0,0,,1,1,27,4,22,1,1,"Jerome, IL",34.7489107,-112.1137716,,
Jerseyville,"8,470",25,0,12,,0,13,260,44,207,9,0,"Jerseyville, IL",#ERROR!,-90.3284479,,
Johnsburg,"6,303",5,0,4,,0,1,127,0,126,1,0,"Johnsburg, IL",42.3800209,-88.2420315,,
Joliet,"147,886",488,10,51,,128,299,"2,801",517,"2,143",141,64,"Joliet, IL",41.525031,-88.0817251,,
Kankakee,"26,509",203,5,26,,74,98,"1,098",251,786,61,12,"Kankakee, IL",41.1200325,-87.8611531,,
Kenilworth,"2,563",0,0,0,,0,0,12,1,11,0,0,"Kenilworth, IL",#ERROR!,-74.2907032,,
Kewanee,"12,460",38,0,13,,2,23,424,43,371,10,0,"Kewanee, IL",41.2455927,-89.9248303,,
Kildeer,"4,066",2,0,1,,1,0,19,3,16,0,0,"Kildeer, IL",#ERROR!,-88.0478532,,
Kincaid,"1,424",8,0,2,,1,5,17,1,15,1,0,"Kincaid, IL",#ERROR!,-96.0062715,,
Kingston,"1,154",0,0,0,,0,0,3,0,3,0,3,"Kingston, IL",#ERROR!,-73.9973608,,
Kirkland,"1,732",4,0,0,,0,4,21,4,17,0,0,"Kirkland, IL",36.0558263,-96.0011332,,
Lacon,"1,805",0,0,0,,0,0,10,4,6,0,0,"Lacon, IL",#ERROR!,-89.4112007,,
Ladd,"1,231",1,0,0,,0,1,5,4,1,0,0,"Ladd, IL",#ERROR!,-95.088721,,
La Grange,"15,754",14,0,1,,5,8,197,40,153,4,0,"La Grange, IL",#ERROR!,-96.442057,,
La Grange Park,"13,612",3,0,0,,1,2,105,9,91,5,0,"La Grange Park, IL",41.8347535,#ERROR!,,
La Harpe,"1,190",1,0,0,,0,1,17,5,12,0,0,"La Harpe, IL",40.5833749,-90.9693057,,
Lake Bluff,"5,666",4,0,0,,1,3,56,3,50,3,0,"Lake Bluff, IL",#ERROR!,#ERROR!,,
Lake Forest,"19,410",4,0,0,,0,4,112,14,98,0,0,"Lake Forest, IL",42.2586342,#ERROR!,,
Lake in the Hills,"29,022",24,0,8,,0,16,146,31,115,0,1,"Lake in the Hills, IL",42.1816908,#ERROR!,,
Lakemoor,"6,006",2,0,0,,0,2,22,6,16,0,0,"Lakemoor, IL",#ERROR!,-88.1989732,,
Lake Villa,"8,849",11,0,2,,1,8,48,8,39,1,0,"Lake Villa, IL",42.4169651,#ERROR!,,
Lake Zurich,"20,051",11,0,8,,0,3,255,27,227,1,2,"Lake Zurich, IL",42.1969689,-88.0934108,,
Lanark,"1,357",0,0,0,,0,0,7,1,5,1,0,"Lanark, IL",55.673865,-3.782138,,
Lansing,"28,347",113,1,10,,70,32,"1,886",271,"1,527",88,2,"Lansing, IL",42.732535,-84.5555347,,
La Salle,"9,194",3,0,0,,0,3,187,31,152,4,0,"La Salle, IL",28.6235221,#ERROR!,,
Lawrenceville,"4,428",14,0,0,,0,14,77,29,42,6,3,"Lawrenceville, IL",33.9562149,#ERROR!,,
Lebanon,"4,467",9,0,5,,3,1,54,17,34,3,0,"Lebanon, IL",33.854721,#ERROR!,,
Lemont,"16,927",6,0,3,,1,2,140,19,113,8,0,"Lemont, IL",41.673642,#ERROR!,,
Lenzburg,487,0,0,0,,0,0,4,2,2,0,0,"Lenzburg, IL",47.3904443,8.1721545,,
Le Roy,"3,585",6,0,1,,0,5,29,9,19,1,0,"Le Roy, IL",40.3519795,#ERROR!,,
Libertyville,"20,454",8,1,1,,3,3,268,23,239,6,0,"Libertyville, IL",42.2830786,#ERROR!,,
Lincoln,"13,867",38,0,8,,3,27,325,61,249,15,2,"Lincoln, IL",37.2242647,#ERROR!,,
Lincolnshire,"7,282",2,0,0,,1,1,31,3,26,2,0,"Lincolnshire, IL",#ERROR!,-0.1601246,,
Lincolnwood,"12,655",20,0,0,,7,13,454,76,357,21,2,"Lincolnwood, IL",42.0044757,-87.7300594,,
Lindenhurst,"14,408",3,0,2,,1,0,71,8,61,2,1,"Lindenhurst, IL",42.4105765,-88.0261911,,
Lisle,"23,063",9,0,4,,1,4,211,29,173,9,0,"Lisle, IL",41.801141,-88.0747875,,
Litchfield,"6,852",5,0,0,,1,4,180,19,159,2,1,"Litchfield, IL",#ERROR!,#ERROR!,,
Loami,756,0,0,0,,0,0,17,8,9,0,0,"Loami, IL",39.6756064,-89.846771,,
Lockport,"25,223",22,2,4,,5,11,193,20,171,2,2,"Lockport, IL",43.1706128,-78.6903098,,
Lombard,"43,866",50,0,13,,17,20,942,94,830,18,5,"Lombard, IL",#ERROR!,-88.0078435,,
Loves Park,"23,349",79,1,11,,17,50,454,98,336,20,2,"Loves Park, IL",#ERROR!,-89.0581621,,
Lovington,"1,104",0,0,0,,0,0,11,3,7,1,0,"Lovington, IL",#ERROR!,-103.3485543,,
Lyons,"10,719",13,3,0,,5,5,120,21,86,13,3,"Lyons, IL",40.2247075,-105.271378,,
Machesney Park,"22,816",76,1,14,,7,54,566,80,474,12,1,"Machesney Park, IL",#ERROR!,-89.0389956,,
Macomb,"18,402",72,0,21,,3,48,294,65,225,4,1,"Macomb, IL",#ERROR!,-82.820974,,
Mahomet,"8,216",4,0,0,,0,4,32,9,22,1,0,"Mahomet, IL",#ERROR!,-88.4042234,,
Malta,"1,150",0,0,0,,0,0,0,0,0,0,0,"Malta, IL",35.937496,14.375416,,
Manhattan,"7,464",2,0,0,,0,2,32,3,29,0,0,"Manhattan, IL",#ERROR!,-73.9712488,,
Maple Park,"1,307",0,0,0,,0,0,3,0,3,0,0,"Maple Park, IL",36.1393971,#ERROR!,,
Marengo,"7,467",5,0,2,,0,3,70,15,54,1,0,"Marengo, IL",42.2486332,#ERROR!,,
Marine,930,0,0,0,,0,0,1,0,1,0,0,"Marine, IL",36.998082,-94.55123,,
Marissa,"1,833",15,0,0,,0,15,40,5,33,2,0,"Marissa, IL",#ERROR!,-81.801785,,
Maroa,"1,727",2,0,1,,0,1,20,11,9,0,1,"Maroa, IL",#ERROR!,-88.957026,,
Marquette Heights,"2,726",6,0,2,,0,4,11,4,7,0,0,"Marquette Heights, IL",40.6175383,-89.6003776,,
Marseilles,"4,934",9,0,1,,1,7,104,36,66,2,1,"Marseilles, IL",43.296482,#ERROR!,,
Marshall,"3,871",8,0,0,,2,6,31,2,29,0,2,"Marshall, IL",#ERROR!,-95.774913,,
Martinsville,"1,129",1,0,0,,0,1,14,3,11,0,0,"Martinsville, IL",36.6915262,-79.8725386,,
Maryville,"7,978",7,0,0,,1,6,47,11,32,4,0,"Maryville, IL",#ERROR!,#ERROR!,,
Mascoutah,"8,063",5,0,0,,2,3,42,7,35,0,0,"Mascoutah, IL",#ERROR!,#ERROR!,,
Matteson,"19,226",71,0,6,,18,47,575,54,457,64,0,"Matteson, IL",41.5039235,-87.7131018,,
Mattoon,"18,026",70,1,10,,7,52,371,63,307,1,6,"Mattoon, IL",#ERROR!,#ERROR!,,
Maywood,"23,994",165,5,15,,68,77,572,144,339,89,2,"Maywood, IL",33.9866807,-118.185349,,
McCook,230,0,0,0,,0,0,21,2,12,7,0,"McCook, IL",#ERROR!,-100.6248741,,
McCullom Lake,"1,015",0,0,0,,0,0,0,0,0,0,0,"McCullom Lake, IL",42.3683543,#ERROR!,,
McHenry,"26,581",40,1,13,,2,24,403,27,372,4,0,"McHenry, IL",#ERROR!,-88.4016041,,
McLean,812,2,0,0,,1,1,8,3,5,0,0,"McLean, IL",37.725305,#ERROR!,,
Melrose Park,"25,369",51,2,10,,17,22,321,42,226,53,0,"Melrose Park, IL",#ERROR!,-87.8567276,,
Mendota,"7,173",6,0,3,,0,3,88,21,67,0,1,"Mendota, IL",36.7535611,-120.3815574,,
Metropolis,"6,290",36,0,6,,2,28,245,50,185,10,0,"Metropolis, IL",#ERROR!,-88.7319979,,
Midlothian,"14,850",37,1,0,,27,9,373,115,221,37,1,"Midlothian, IL",#ERROR!,-97.0103181,,
Milan,"5,082",16,0,3,,1,12,121,16,105,0,0,"Milan, IL",45.4642035,#ERROR!,,
Milledgeville,973,0,0,0,,0,0,22,3,17,2,0,"Milledgeville, IL",33.0801429,-83.2320991,,
Millstadt,"3,877",1,0,0,,0,1,20,5,15,0,0,"Millstadt, IL",38.4614404,-90.0917755,,
Minier,"1,219",0,0,0,,0,0,23,3,19,1,0,"Minier, IL",40.4336504,-89.3131465,,
Mokena,"20,156",5,0,2,,0,3,261,22,232,7,0,"Mokena, IL",41.5261437,#ERROR!,,
Moline,"42,517",196,0,26,,19,151,"1,459",227,"1,205",27,4,"Moline, IL",41.5067003,-90.5151342,,
Monee,"5,068",2,0,2,,0,0,52,7,39,6,0,"Monee, IL",41.420034,-87.7417114,,
Monmouth,"9,261",35,0,9,,3,23,193,43,138,12,3,"Monmouth, IL",40.9114271,#ERROR!,,
Montgomery,"19,703",18,1,7,,0,10,330,44,270,16,2,"Montgomery, IL",32.3792233,-86.3077368,,
Monticello,"5,501",5,0,0,,0,5,46,12,34,0,1,"Monticello, IL",38.0086043,-78.4531994,,
Morris,"14,507",20,0,4,,3,13,303,33,266,4,2,"Morris, IL",#ERROR!,-95.9188889,,
Morrison,"4,137",6,0,0,,0,6,39,5,32,2,0,"Morrison, IL",39.6535988,-105.1910996,,
Morton,"16,310",14,0,0,,0,14,145,47,97,1,2,"Morton, IL",#ERROR!,-122.2751046,,
Morton Grove,"23,478",11,0,0,,3,8,207,57,144,6,1,"Morton Grove, IL",42.0405852,#ERROR!,,
Mount Carmel,"6,982",15,0,0,,2,13,182,27,153,2,1,"Mount Carmel, IL",32.7427316,35.0483915,,
Mount Carroll,"1,602",0,0,0,,0,0,30,3,25,2,0,"Mount Carroll, IL",#ERROR!,-89.9781797,,
Mount Morris,"2,854",0,0,0,,0,0,20,4,15,1,0,"Mount Morris, IL",43.1186374,#ERROR!,,
Mount Olive,"1,995",1,0,0,,0,1,4,0,3,1,0,"Mount Olive, IL",#ERROR!,#ERROR!,,
Mount Prospect,"54,839",26,0,6,,10,10,565,53,490,22,5,"Mount Prospect, IL",#ERROR!,#ERROR!,,
Mount Pulaski,"1,505",0,0,0,,0,0,6,2,4,0,0,"Mount Pulaski, IL",#ERROR!,-89.282314,,
Mount Vernon,"15,053",194,0,18,,24,152,776,183,585,8,15,"Mount Vernon, IL",38.707982,-77.0861753,,
Mount Zion,"5,865",3,0,1,,1,1,21,2,19,0,0,"Mount Zion, IL",31.7709233,35.2284626,,
Moweaqua,"1,736",1,0,0,,0,1,7,5,2,0,0,"Moweaqua, IL",#ERROR!,-89.0189684,,
Mundelein,"31,685",24,0,1,,2,21,292,52,230,10,2,"Mundelein, IL",#ERROR!,-88.0039653,,
Murphysboro,"7,726",59,1,13,,8,37,433,73,357,3,2,"Murphysboro, IL",37.7644952,-89.3350888,,
Naperville,"148,070",92,0,15,,34,43,"1,587",141,"1,401",45,4,"Naperville, IL",#ERROR!,#ERROR!,,
Nashville,"3,109",12,0,1,,0,11,69,8,56,5,0,"Nashville, IL",36.1626638,#ERROR!,,
New Athens,"1,930",1,0,0,,0,1,18,4,14,0,0,"New Athens, IL",38.3264383,#ERROR!,,
New Baden,"3,304",4,0,1,,0,3,27,0,27,0,0,"New Baden, IL",#ERROR!,-89.7006499,,
New Lenox,"26,085",25,0,7,,6,12,302,32,265,5,0,"New Lenox, IL",#ERROR!,-87.9656098,,
Newton,"2,807",0,0,0,,0,0,53,13,40,0,0,"Newton, IL",38.0466779,#ERROR!,,
Niles,"29,886",29,0,2,,8,19,702,49,639,14,1,"Niles, IL",#ERROR!,-87.8028402,,
Nokomis,"2,171",8,1,1,,0,6,33,9,22,2,1,"Nokomis, IL",27.1192213,#ERROR!,,
Normal,"54,727",144,1,35,,29,79,"1,080",142,912,26,1,"Normal, IL",#ERROR!,-88.9906312,,
Norridge,"14,629",13,0,1,,3,9,414,32,371,11,0,"Norridge, IL",41.9633641,-87.827284,,
North Aurora,"17,599",21,0,4,,4,13,240,25,208,7,1,"North Aurora, IL",41.8061399,-88.3272952,,
Northbrook,"33,746",11,1,2,,5,3,382,42,327,13,0,"Northbrook, IL",42.1275267,#ERROR!,,
Northfield,"5,494",0,0,0,,0,0,40,6,33,1,1,"Northfield, IL",44.4582983,-93.161604,,
Northlake,"12,308",16,0,2,,7,7,252,16,218,18,0,"Northlake, IL",#ERROR!,-97.2540328,,
North Riverside,"6,663",15,0,0,,9,6,486,16,459,11,0,"North Riverside, IL",41.8461167,-87.8157429,,
Oak Brook,"8,130",10,0,2,,3,5,562,18,536,8,0,"Oak Brook, IL",#ERROR!,#ERROR!,,
Oakbrook Terrace,"2,169",5,0,1,,2,2,108,10,93,5,0,"Oakbrook Terrace, IL",41.8500302,-87.9645077,,
Oak Forest,"28,088",42,1,5,,20,16,300,57,214,29,1,"Oak Forest, IL",#ERROR!,-87.7439384,,
Oak Lawn,"56,791",79,1,7,,38,33,937,99,810,28,3,"Oak Lawn, IL",#ERROR!,-87.7479528,,
Oak Park,"52,365",108,0,2,,68,38,"1,495",359,"1,057",79,3,"Oak Park, IL",41.8850317,#ERROR!,,
Oakwood,"1,520",4,0,0,,0,4,13,8,5,0,0,"Oakwood, IL",31.538703,-97.1116445,,
Oakwood Hills,"2,059",2,0,2,,0,0,19,3,16,0,0,"Oakwood Hills, IL",#ERROR!,-88.2428615,,
Oblong,"1,420",7,0,0,,0,7,15,8,7,0,0,"Oblong, IL",39.0019867,#ERROR!,,
O'Fallon,"29,061",45,1,15,,7,22,518,65,444,9,0,"O'Fallon, IL",38.8106075,#ERROR!,,
Oglesby,"3,619",3,0,2,,0,1,43,6,37,0,0,"Oglesby, IL",#ERROR!,-89.0595266,,
Okawville,"1,392",3,0,0,,0,3,17,7,9,1,0,"Okawville, IL",38.4342163,-89.5503676,,
Olney,"8,984",49,1,10,,0,38,283,32,241,10,4,"Olney, IL",#ERROR!,-77.066923,,
Olympia Fields,"5,031",4,0,0,,2,2,146,11,134,1,0,"Olympia Fields, IL",41.5131999,-87.6926257,,
Onarga,"1,313",1,0,0,,0,1,5,1,3,1,0,"Onarga, IL",#ERROR!,-88.0061509,,
Oregon,"3,553",6,0,1,,0,5,107,12,90,5,0,"Oregon, IL",#ERROR!,-120.5542012,,
Orion,"1,818",0,0,0,,0,0,6,3,3,0,0,"Orion, IL",37.6691596,#ERROR!,,
Orland Hills,"7,255",4,0,0,,0,4,46,5,40,1,0,"Orland Hills, IL",#ERROR!,#ERROR!,,
Orland Park,"59,009",25,0,2,,4,19,"1,335",53,"1,263",19,2,"Orland Park, IL",41.6303103,-87.8539425,,
Oswego,"34,681",25,0,7,,5,13,389,27,353,9,3,"Oswego, IL",#ERROR!,-76.5104973,,
Ottawa,"18,263",23,0,1,,3,19,390,45,333,12,3,"Ottawa, IL",45.4215296,#ERROR!,,
Palatine,"69,447",37,0,14,,8,15,600,35,543,22,1,"Palatine, IL",42.1103041,#ERROR!,,
Palestine,"1,324",9,0,1,,0,8,19,1,17,1,0,"Palestine, IL",31.952162,35.233154,,
Palos Heights,"12,549",2,0,0,,0,2,87,7,77,3,1,"Palos Heights, IL",41.6680885,#ERROR!,,
Palos Hills,"17,578",16,0,1,,5,10,84,6,70,8,0,"Palos Hills, IL",41.6966992,#ERROR!,,
Palos Park,"4,894",2,0,0,,0,2,32,4,28,0,0,"Palos Park, IL",41.6672547,-87.8303315,,
Pana,"5,562",14,0,6,,0,8,91,16,73,2,0,"Pana, IL",#ERROR!,-104.9831985,,
Paris,"8,356",38,0,1,,1,36,116,51,54,11,2,"Paris, IL",#ERROR!,#ERROR!,,
Park City,"7,357",10,0,4,,2,4,103,33,63,7,0,"Park City, IL",#ERROR!,-111.4979729,,
Park Forest,"21,947",75,2,11,,34,28,353,110,209,34,4,"Park Forest, IL",41.4914236,-87.6744891,,
Park Ridge,"37,805",12,0,1,,8,3,375,67,294,14,3,"Park Ridge, IL",#ERROR!,-87.8406192,,
Pawnee,"2,707",1,1,0,,0,0,2,1,1,0,0,"Pawnee, IL",#ERROR!,-96.8039232,,
Paxton,"4,332",10,0,1,,1,8,61,8,51,2,2,"Paxton, IL",#ERROR!,-97.5919876,,
Pekin,"33,052",139,0,25,,15,99,664,90,562,12,6,"Pekin, IL",40.5675388,-89.640658,,
Peoria,"115,099",875,10,70,,305,490,"4,429","1,089","3,116",224,61,"Peoria, IL",#ERROR!,-89.5889864,,
Peoria Heights,"5,960",30,1,6,,1,22,149,27,114,8,0,"Peoria Heights, IL",40.7472594,#ERROR!,,
Peotone,"4,114",7,0,0,,3,4,13,2,10,1,0,"Peotone, IL",41.3322554,-87.7853217,,
Peru,"9,886",15,0,4,,4,7,157,24,132,1,0,"Peru, IL",#ERROR!,#ERROR!,,
Phoenix,"1,956",14,0,0,,2,12,43,23,17,3,0,"Phoenix, IL",#ERROR!,-112.0740373,,
Pierron,558,0,0,0,,0,0,0,0,0,0,0,"Pierron, IL",38.7797065,#ERROR!,,
Pinckneyville,"5,336",4,0,0,,1,3,26,6,20,0,0,"Pinckneyville, IL",38.0803286,#ERROR!,,
Pingree Grove,"7,162",5,0,5,,0,0,20,1,18,1,0,"Pingree Grove, IL",#ERROR!,#ERROR!,,
Pittsfield,"4,468",3,0,0,,0,3,66,10,54,2,0,"Pittsfield, IL",#ERROR!,-73.2453824,,
Plainfield,"43,063",37,0,7,,3,27,330,35,280,15,2,"Plainfield, IL",#ERROR!,-88.2120315,,
Plano,"11,358",0,0,0,,0,0,108,10,96,2,0,"Plano, IL",33.0198431,-96.6988856,,
Pleasant Hill,937,3,0,3,,0,0,9,3,6,0,0,"Pleasant Hill, IL",37.9479786,-122.0607963,,
Pleasant Plains,804,0,0,0,,0,0,2,0,2,0,0,"Pleasant Plains, IL",39.8728269,-89.9212211,,
Pontiac,"11,771",26,0,0,,3,23,222,37,181,4,2,"Pontiac, IL",36.5156645,-92.6035899,,
Pontoon Beach,"5,598",8,0,0,,2,6,113,23,84,6,1,"Pontoon Beach, IL",38.7322237,-90.0710336,,
Posen,"5,992",14,1,0,,7,6,102,24,65,13,0,"Posen, IL",41.6317008,-87.681437,,
Potomac,716,0,0,0,,0,0,1,0,1,0,0,"Potomac, IL",39.0181651,#ERROR!,,
Princeton,"7,534",14,0,2,,0,12,103,17,82,4,2,"Princeton, IL",40.3430942,-74.6550739,,
Prophetstown,"1,999",0,0,0,,0,0,0,0,0,0,0,"Prophetstown, IL",40.4973299,#ERROR!,,
Prospect Heights,"16,410",19,0,0,,5,14,106,19,78,9,1,"Prospect Heights, IL",40.6774196,-73.9668408,,
Quincy,"40,799",209,0,43,,23,143,"1,323",295,987,41,9,"Quincy, IL",#ERROR!,-71.0022705,,
Raleigh,348,0,0,0,,0,0,3,2,1,0,0,"Raleigh, IL",35.7795897,-78.6381787,,
Rankin,535,0,0,0,,0,0,0,0,0,0,0,"Rankin, IL",32.2653668,-89.9253233,,
Rantoul,"13,018",53,0,14,,13,26,339,101,225,13,3,"Rantoul, IL",40.3083672,-88.1558785,,
Red Bud,"3,564",2,0,1,,0,1,13,5,8,0,0,"Red Bud, IL",38.2117172,-89.9942741,,
Richmond,"1,904",2,0,0,,1,1,19,3,15,1,0,"Richmond, IL",37.5407246,#ERROR!,,
Richton Park,"13,702",58,0,7,,36,15,299,46,220,33,0,"Richton Park, IL",41.484479,-87.7033787,,
Ridge Farm,847,0,0,0,,0,0,9,3,6,0,0,"Ridge Farm, IL",#ERROR!,#ERROR!,,
River Forest,"11,203",17,0,0,,7,10,291,42,244,5,0,"River Forest, IL",41.8939617,-87.8198478,,
River Grove,"10,216",11,1,4,,3,3,149,37,97,15,0,"River Grove, IL",#ERROR!,-87.8358943,,
Riverside,"8,826",13,0,1,,0,12,118,26,90,2,1,"Riverside, IL",#ERROR!,-117.3754942,,
Riverton,"3,463",14,0,2,,2,10,70,12,53,5,0,"Riverton, IL",40.521893,-111.9391023,,
Riverwoods,"3,639",3,0,1,,0,2,26,5,19,2,0,"Riverwoods, IL",#ERROR!,#ERROR!,,
Robinson,"7,616",31,0,2,,0,29,106,13,88,5,1,"Robinson, IL",39.0405108,#ERROR!,,
Rochester,"3,794",4,0,1,,0,3,9,0,8,1,0,"Rochester, IL",#ERROR!,-77.6088465,,
Rockdale,"1,942",2,0,1,,0,1,3,0,1,2,0,"Rockdale, IL",33.6752492,-84.0378894,,
Rock Falls,"9,027",35,0,1,,4,30,119,60,57,2,0,"Rock Falls, IL",41.7797533,-89.6889967,,
Rockford,"147,363","2,444",26,137,,536,"1,745","5,565","1,406","3,696",463,78,"Rockford, IL",42.2711311,-89.0939952,,
Rock Island,"38,543",158,4,6,,23,125,"1,042",175,782,85,6,"Rock Island, IL",41.5094771,#ERROR!,,
Rockton,"7,494",7,0,2,,0,5,163,11,150,2,1,"Rockton, IL",42.4525157,#ERROR!,,
Rolling Meadows,"24,205",16,0,6,,2,8,284,12,266,6,0,"Rolling Meadows, IL",#ERROR!,-88.0131275,,
Romeoville,"39,727",45,0,8,,14,23,623,61,544,18,2,"Romeoville, IL",41.6475306,-88.0895061,,
Roscoe,"10,523",9,0,0,,0,9,130,55,73,2,0,"Roscoe, IL",41.9331441,-74.9134961,,
Roselle,"23,037",18,0,11,,2,5,190,29,157,4,3,"Roselle, IL",41.9847504,#ERROR!,,
Rosemont,"4,206",25,0,5,,4,16,279,8,263,8,86,"Rosemont, IL",41.9867507,#ERROR!,,
Round Lake,"18,484",19,0,5,,5,9,133,24,107,2,0,"Round Lake, IL",42.353355,-88.0934145,,
Round Lake Beach,"27,796",38,0,10,,6,22,581,44,527,10,1,"Round Lake Beach, IL",#ERROR!,-88.0900815,,
Round Lake Heights,"2,713",5,0,1,,1,3,24,1,23,0,0,"Round Lake Heights, IL",42.3800212,#ERROR!,,
Round Lake Park,"7,415",5,0,0,,0,5,83,20,56,7,0,"Round Lake Park, IL",#ERROR!,#ERROR!,,
Roxana,"1,472",6,0,1,,1,4,31,9,22,0,0,"Roxana, IL",#ERROR!,-90.0607398,,
Royalton,"1,135",1,0,0,,0,1,10,5,4,1,0,"Royalton, IL",40.7555732,-73.9822616,,
Ruma,315,0,0,0,,0,0,1,0,1,0,0,"Ruma, IL",38.1350512,#ERROR!,,
Rushville,"2,927",4,0,2,,0,2,30,7,23,0,0,"Rushville, IL",39.6092137,#ERROR!,,
Salem,"7,249",21,0,1,,3,17,379,49,316,14,2,"Salem, IL",#ERROR!,#ERROR!,,
Sandoval,"1,221",8,0,3,,3,2,29,8,20,1,5,"Sandoval, IL",#ERROR!,#ERROR!,,
Sandwich,"7,355",8,0,5,,0,3,48,10,38,0,0,"Sandwich, IL",#ERROR!,#ERROR!,,
Sauget,151,4,1,0,,1,2,64,0,53,11,0,"Sauget, IL",38.5964402,-90.1848331,,
Sauk Village,"10,489",54,2,10,,11,31,117,38,56,23,3,"Sauk Village, IL",41.4883685,-87.5675414,,
Savanna,"2,845",10,0,2,,0,8,83,17,63,3,0,"Savanna, IL",40.7607551,#ERROR!,,
Schaumburg,"74,774",74,0,23,,21,30,"1,685",108,"1,526",51,4,"Schaumburg, IL",42.0333607,#ERROR!,,
Schiller Park,"11,807",19,0,10,,6,3,229,41,161,27,0,"Schiller Park, IL",#ERROR!,-87.8708965,,
Shannon,703,0,0,0,,0,0,0,0,0,0,0,"Shannon, IL",34.1162203,-88.7117181,,
Shawneetown,"1,150",4,0,0,,1,3,13,3,9,1,0,"Shawneetown, IL",37.713102,-88.1867027,,
Sherman,"4,697",1,0,0,,0,1,17,9,8,0,0,"Sherman, IL",#ERROR!,-96.6088805,,
Shiloh,"13,056",29,0,4,,7,18,223,38,177,8,1,"Shiloh, IL",#ERROR!,-95.4568133,,
Shorewood,"16,968",29,0,10,,2,17,174,30,138,6,0,"Shorewood, IL",43.0891787,-87.8875848,,
Sidell,587,0,0,0,,0,0,0,0,0,0,0,"Sidell, IL",39.9097575,#ERROR!,,
Silvis,"7,487",24,0,5,,2,17,295,38,255,2,0,"Silvis, IL",#ERROR!,-90.4151301,,
Skokie,"64,819",158,1,15,,45,97,"1,557",228,"1,283",46,5,"Skokie, IL",42.0324025,-87.7416246,,
Sleepy Hollow,"3,354",0,0,0,,0,0,10,1,9,0,0,"Sleepy Hollow, IL",#ERROR!,#ERROR!,,
Smithton,"3,724",0,0,0,,0,0,16,2,14,0,0,"Smithton, IL",38.6800181,-93.092979,,
South Barrington,"4,955",2,0,0,,0,2,47,10,35,2,0,"South Barrington, IL",42.0881054,-88.1535352,,
South Beloit,"7,639",18,0,1,,8,9,117,26,87,4,0,"South Beloit, IL",42.4930708,-89.0367763,,
South Chicago Heights,"4,137",19,0,0,,7,12,155,16,128,11,3,"South Chicago Heights, IL",#ERROR!,-87.6378211,,
South Elgin,"22,436",27,0,8,,3,16,262,18,239,5,0,"South Elgin, IL",41.9941938,-88.2922996,,
South Holland,"22,042",83,2,20,,43,18,479,86,332,61,1,"South Holland, IL",41.6008681,-87.6069894,,
South Pekin,"1,115",2,0,0,,0,2,14,3,10,1,0,"South Pekin, IL",40.4944838,#ERROR!,,
South Roxana,"1,986",16,0,5,,2,9,49,22,27,0,0,"South Roxana, IL",#ERROR!,-90.0628834,,
Springfield,"116,563","1,301",6,99,,249,947,"5,158","1,250","3,681",227,45,"Springfield, IL",#ERROR!,-72.5815806,,
Spring Grove,"5,698",3,0,3,,0,0,35,2,30,3,0,"Spring Grove, IL",37.0627341,-94.6370271,,
Spring Valley,"5,269",2,0,1,,0,1,79,18,58,3,0,"Spring Valley, IL",#ERROR!,-74.0437521,,
Stanford,579,0,0,0,,0,0,2,1,1,0,0,"Stanford, IL",37.4274745,-122.169719,,
St. Anne,"1,213",2,0,0,,2,0,43,15,25,3,1,"St. Anne, IL",#ERROR!,#ERROR!,,
Staunton,"4,981",11,0,1,,1,9,65,11,52,2,0,"Staunton, IL",38.149576,-79.0716958,,
St. Charles,"33,556",44,0,6,,4,34,432,52,367,13,2,"St. Charles, IL",38.7881062,-90.4974359,,
Steger,"9,502",20,0,1,,9,10,288,38,233,17,2,"Steger, IL",#ERROR!,-87.636432,,
St. Elmo,"1,402",14,0,1,,0,13,44,15,27,2,0,"St. Elmo, IL",35.233799,-89.9683491,,
Sterling,"14,983",39,0,14,,5,20,511,48,449,14,3,"Sterling, IL",#ERROR!,#ERROR!,,
Stickney,"6,785",6,1,1,,1,3,73,3,58,12,1,"Stickney, IL",41.8177521,-87.7923613,,
Stockton,"1,778",6,0,1,,0,5,41,9,30,2,0,"Stockton, IL",37.9577016,-121.2907796,,
Streator,"13,082",32,0,17,,4,11,357,67,279,11,14,"Streator, IL",#ERROR!,-88.835352,,
Summit,"11,457",38,1,1,,14,22,216,27,145,44,4,"Summit, IL",#ERROR!,-94.8427527,,
Swansea,"13,533",19,0,6,,5,8,263,47,203,13,0,"Swansea, IL",51.62144,-3.943646,,
Sycamore,"17,750",12,0,3,,1,8,257,15,235,7,5,"Sycamore, IL",38.6986462,-92.23213,,
Taylorville,"10,795",4,0,1,,0,3,136,26,107,3,0,"Taylorville, IL",39.548935,-89.294533,,
Thornton,"2,513",3,0,1,,1,1,38,7,30,1,0,"Thornton, IL",39.8680412,-104.9719243,,
Tilton,"2,607",10,0,1,,0,9,55,19,34,2,0,"Tilton, IL",46.754946,-71.4567358,,
