Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,
,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,
,,manslaughter,definition1),definition2),,,,,,theft,,,,
22816,76,1,14,,7,54,566,80,474,12,1,"Machesney Park, IL",42.3472406,-89.0389956
18402,72,0,21,,3,48,294,65,225,4,1,"Macomb, IL",40.4592076,-90.6717971
8216,4,0,0,,0,4,32,9,22,1,0,"Mahomet, IL",40.1953106,-88.4042234
1150,0,0,0,,0,0,0,0,0,0,0,"Malta, IL",41.929751,-88.8609238
7464,2,0,0,,0,2,32,3,29,0,0,"Manhattan, IL",41.4225316,-87.9858863
1307,0,0,0,,0,0,3,0,3,0,0,"Maple Park, IL",41.9075282,-88.5992494
7467,5,0,2,,0,3,70,15,54,1,0,"Marengo, IL",42.2486332,-88.6084269
930,0,0,0,,0,0,1,0,1,0,0,"Marine, IL",38.7864361,-89.7775939
1833,15,0,0,,0,15,40,5,33,2,0,"Marissa, IL",38.2500481,-89.7500988
1727,2,0,1,,0,1,20,11,9,0,1,"Maroa, IL",40.0364257,-88.957026
2726,6,0,2,,0,4,11,4,7,0,0,"Marquette Heights, IL",40.6175383,-89.6003776
4934,9,0,1,,1,7,104,36,66,2,1,"Marseilles, IL",41.3308666,-88.7081293
3871,8,0,0,,2,6,31,2,29,0,2,"Marshall, IL",39.3914252,-87.6936384
1129,1,0,0,,0,1,14,3,11,0,0,"Martinsville, IL",39.3355924,-87.8819761
7978,7,0,0,,1,6,47,11,32,4,0,"Maryville, IL",38.7244997,-89.9572444
8063,5,0,0,,2,3,42,7,35,0,0,"Mascoutah, IL",38.490327,-89.793154
19226,71,0,6,,18,47,575,54,457,64,0,"Matteson, IL",41.5039235,-87.7131018
18026,70,1,10,,7,52,371,63,307,1,6,"Mattoon, IL",39.4830897,-88.3728255
23994,165,5,15,,68,77,572,144,339,89,2,"Maywood, IL",41.8791979,-87.8431155
230,0,0,0,,0,0,21,2,12,7,0,"McCook, IL",41.7949035,-87.837125
1015,0,0,0,,0,0,0,0,0,0,0,"McCullom Lake, IL",42.3683543,-88.2925883
26581,40,1,13,,2,24,403,27,372,4,0,"McHenry, IL",42.333355,-88.2667534
812,2,0,0,,1,1,8,3,5,0,0,"McLean, IL",40.3144833,-89.169809
25369,51,2,10,,17,22,321,42,226,53,0,"Melrose Park, IL",41.9005865,-87.8567276
7173,6,0,3,,0,3,88,21,67,0,1,"Mendota, IL",41.5472547,-89.1175851
6290,36,0,6,,2,28,245,50,185,10,0,"Metropolis, IL",37.1511655,-88.7319979
14850,37,1,0,,27,9,373,115,221,37,1,"Midlothian, IL",41.6253116,-87.7175491
5082,16,0,3,,1,12,121,16,105,0,0,"Milan, IL",41.453089,-90.5720803
973,0,0,0,,0,0,22,3,17,2,0,"Milledgeville, IL",41.9633615,-89.7745604
3877,1,0,0,,0,1,20,5,15,0,0,"Millstadt, IL",38.4614404,-90.0917755
1219,0,0,0,,0,0,23,3,19,1,0,"Minier, IL",40.4336504,-89.3131465
20156,5,0,2,,0,3,261,22,232,7,0,"Mokena, IL",41.5261437,-87.8892189
42517,196,0,26,,19,151,1459,227,1205,27,4,"Moline, IL",41.5067003,-90.5151342
5068,2,0,2,,0,0,52,7,39,6,0,"Monee, IL",41.420034,-87.7417114
9261,35,0,9,,3,23,193,43,138,12,3,"Monmouth, IL",40.9114271,-90.6473576
19703,18,1,7,,0,10,330,44,270,16,2,"Montgomery, IL",41.730585,-88.3459048
5501,5,0,0,,0,5,46,12,34,0,1,"Monticello, IL",40.0278116,-88.5733979
14507,20,0,4,,3,13,303,33,266,4,2,"Morris, IL",41.357254,-88.4211785
4137,6,0,0,,0,6,39,5,32,2,0,"Morrison, IL",41.809751,-89.9651186
16310,14,0,0,,0,14,145,47,97,1,2,"Morton, IL",40.6128161,-89.4592609
23478,11,0,0,,3,8,207,57,144,6,1,"Morton Grove, IL",42.0405852,-87.7825621
6982,15,0,0,,2,13,182,27,153,2,1,"Mount Carmel, IL",38.4108801,-87.7614174
1602,0,0,0,,0,0,30,3,25,2,0,"Mount Carroll, IL",42.0950233,-89.9781797
2854,0,0,0,,0,0,20,4,15,1,0,"Mount Morris, IL",42.0503062,-89.4312201
1995,1,0,0,,0,1,4,0,3,1,0,"Mount Olive, IL",39.072269,-89.7273148
54839,26,0,6,,10,10,565,53,490,22,5,"Mount Prospect, IL",42.0664167,-87.9372908
1505,0,0,0,,0,0,6,2,4,0,0,"Mount Pulaski, IL",40.0108767,-89.282314
15053,194,0,18,,24,152,776,183,585,8,15,"Mount Vernon, IL",38.3172714,-88.9031201
5865,3,0,1,,1,1,21,2,19,0,0,"Mount Zion, IL",39.7714252,-88.8742405
1736,1,0,0,,0,1,7,5,2,0,0,"Moweaqua, IL",39.6247614,-89.0189684
31685,24,0,1,,2,21,292,52,230,10,2,"Mundelein, IL",42.263079,-88.0039653
7726,59,1,13,,8,37,433,73,357,3,2,"Murphysboro, IL",37.7644952,-89.3350888
148070,92,0,15,,34,43,1587,141,1401,45,4,"Naperville, IL",41.7508391,-88.1535352
3109,12,0,1,,0,11,69,8,56,5,0,"Nashville, IL",38.3436612,-89.3806398
1930,1,0,0,,0,1,18,4,14,0,0,"New Athens, IL",38.3264383,-89.8770468
3304,4,0,1,,0,3,27,0,27,0,0,"New Baden, IL",38.5350488,-89.7006499
26085,25,0,7,,6,12,302,32,265,5,0,"New Lenox, IL",41.5119761,-87.9656098
2807,0,0,0,,0,0,53,13,40,0,0,"Newton, IL",38.9908766,-88.1625389
29886,29,0,2,,8,19,702,49,639,14,1,"Niles, IL",42.0189191,-87.8028402
2171,8,1,1,,0,6,33,9,22,2,1,"Nokomis, IL",39.3011566,-89.285085
54727,144,1,35,,29,79,1080,142,912,26,1,"Normal, IL",40.5142026,-88.9906312
14629,13,0,1,,3,9,414,32,371,11,0,"Norridge, IL",41.9633641,-87.827284
17599,21,0,4,,4,13,240,25,208,7,1,"North Aurora, IL",41.8061399,-88.3272952
33746,11,1,2,,5,3,382,42,327,13,0,"Northbrook, IL",42.1275267,-87.8289548
5494,0,0,0,,0,0,40,6,33,1,1,"Northfield, IL",42.09975,-87.7808967
12308,16,0,2,,7,7,252,16,218,18,0,"Northlake, IL",41.9172526,-87.8956185
6663,15,0,0,,9,6,486,16,459,11,0,"North Riverside, IL",41.8461167,-87.8157429
8130,10,0,2,,3,5,562,18,536,8,0,"Oak Brook, IL",41.8397865,-87.9535534
2169,5,0,1,,2,2,108,10,93,5,0,"Oakbrook Terrace, IL",41.8500302,-87.9645077
28088,42,1,5,,20,16,300,57,214,29,1,"Oak Forest, IL",41.6028116,-87.7439384
56791,79,1,7,,38,33,937,99,810,28,3,"Oak Lawn, IL",41.719978,-87.7479528
52365,108,0,2,,68,38,1495,359,1057,79,3,"Oak Park, IL",41.8850317,-87.7845025
1520,4,0,0,,0,4,13,8,5,0,0,"Oakwood, IL",40.1161471,-87.7783592
2059,2,0,2,,0,0,19,3,16,0,0,"Oakwood Hills, IL",42.2464123,-88.2428615
1420,7,0,0,,0,7,15,8,7,0,0,"Oblong, IL",39.0019867,-87.9089204
29061,45,1,15,,7,22,518,65,444,9,0,"O'Fallon, IL",38.592323,-89.910991
3619,3,0,2,,0,1,43,6,37,0,0,"Oglesby, IL",41.2953126,-89.0595266
1392,3,0,0,,0,3,17,7,9,1,0,"Okawville, IL",38.4342163,-89.5503676
8984,49,1,10,,0,38,283,32,241,10,4,"Olney, IL",38.7308811,-88.0853154
5031,4,0,0,,2,2,146,11,134,1,0,"Olympia Fields, IL",41.5131999,-87.6926257
1313,1,0,0,,0,1,5,1,3,1,0,"Onarga, IL",40.715035,-88.0061509
3553,6,0,1,,0,5,107,12,90,5,0,"Oregon, IL",42.0147513,-89.3323279
1818,0,0,0,,0,0,6,3,3,0,0,"Orion, IL",41.3547575,-90.3815165
7255,4,0,0,,0,4,46,5,40,1,0,"Orland Hills, IL",41.5853107,-87.8431078
59009,25,0,2,,4,19,1335,53,1263,19,2,"Orland Park, IL",41.6303103,-87.8539425
34681,25,0,7,,5,13,389,27,353,9,3,"Oswego, IL",41.6828074,-88.3514596
18263,23,0,1,,3,19,390,45,333,12,3,"Ottawa, IL",41.3455892,-88.8425769
69447,37,0,14,,8,15,600,35,543,22,1,"Palatine, IL",42.1103041,-88.03424
1324,9,0,1,,0,8,19,1,17,1,0,"Palestine, IL",39.0036537,-87.612802
12549,2,0,0,,0,2,87,7,77,3,1,"Palos Heights, IL",41.6680885,-87.7964416
17578,16,0,1,,5,10,84,6,70,8,0,"Palos Hills, IL",41.6966992,-87.8169984
4894,2,0,0,,0,2,32,4,28,0,0,"Palos Park, IL",41.6672547,-87.8303315
5562,14,0,6,,0,8,91,16,73,2,0,"Pana, IL",39.3889311,-89.0800809
8356,38,0,1,,1,36,116,51,54,11,2,"Paris, IL",39.611146,-87.6961374
7357,10,0,4,,2,4,103,33,63,7,0,"Park City, IL",42.3483554,-87.8842397
21947,75,2,11,,34,28,353,110,209,34,4,"Park Forest, IL",41.4914236,-87.6744891
37805,12,0,1,,8,3,375,67,294,14,3,"Park Ridge, IL",42.0111412,-87.8406192
2707,1,1,0,,0,0,2,1,1,0,0,"Pawnee, IL",39.5917186,-89.5803739
4332,10,0,1,,1,8,61,8,51,2,2,"Paxton, IL",40.4603125,-88.0953201
33052,139,0,25,,15,99,664,90,562,12,6,"Pekin, IL",40.5675388,-89.640658
115099,875,10,70,,305,490,4429,1089,3116,224,61,"Peoria, IL",40.6936488,-89.5889864
5960,30,1,6,,1,22,149,27,114,8,0,"Peoria Heights, IL",40.7472594,-89.5739845
4114,7,0,0,,3,4,13,2,10,1,0,"Peotone, IL",41.3322554,-87.7853217
9886,15,0,4,,4,7,157,24,132,1,0,"Peru, IL",41.3275349,-89.1289728
1956,14,0,0,,2,12,43,23,17,3,0,"Phoenix, IL",41.6111456,-87.6347683
558,0,0,0,,0,0,0,0,0,0,0,"Pierron, IL",38.7797065,-89.5974866
5336,4,0,0,,1,3,26,6,20,0,0,"Pinckneyville, IL",38.0803286,-89.3820321
7162,5,0,5,,0,0,20,1,18,1,0,"Pingree Grove, IL",42.0686367,-88.4134159
4468,3,0,0,,0,3,66,10,54,2,0,"Pittsfield, IL",39.6078254,-90.8051289
43063,37,0,7,,3,27,330,35,280,15,2,"Plainfield, IL",41.632223,-88.2120315
11358,0,0,0,,0,0,108,10,96,2,0,"Plano, IL",41.6628076,-88.5370197
937,3,0,3,,0,0,9,3,6,0,0,"Pleasant Hill, IL",39.4433806,-90.8723526
804,0,0,0,,0,0,2,0,2,0,0,"Pleasant Plains, IL",39.8728269,-89.9212211
11771,26,0,0,,3,23,222,37,181,4,2,"Pontiac, IL",40.8808666,-88.6297839
5598,8,0,0,,2,6,113,23,84,6,1,"Pontoon Beach, IL",38.7322237,-90.0710336
5992,14,1,0,,7,6,102,24,65,13,0,"Posen, IL",41.6317008,-87.681437
716,0,0,0,,0,0,1,0,1,0,0,"Potomac, IL",40.305036,-87.8005829
7534,14,0,2,,0,12,103,17,82,4,2,"Princeton, IL",41.3680919,-89.4648145
1999,0,0,0,,0,0,0,0,0,0,0,"Prophetstown, IL",41.6714198,-89.9362249
16410,19,0,0,,5,14,106,19,78,9,1,"Prospect Heights, IL",42.0953049,-87.9375694
40799,209,0,43,,23,143,1323,295,987,41,9,"Quincy, IL",39.9356016,-91.4098726
348,0,0,0,,0,0,3,2,1,0,0,"Raleigh, IL",37.8269921,-88.5319958
535,0,0,0,,0,0,0,0,0,0,0,"Rankin, IL",40.4650357,-87.8964219
13018,53,0,14,,13,26,339,101,225,13,3,"Rantoul, IL",40.3083672,-88.1558785
3564,2,0,1,,0,1,13,5,8,0,0,"Red Bud, IL",38.2117172,-89.9942741
1904,2,0,0,,1,1,19,3,15,1,0,"Richmond, IL",42.4758522,-88.3059251
13702,58,0,7,,36,15,299,46,220,33,0,"Richton Park, IL",41.484479,-87.7033787
847,0,0,0,,0,0,9,3,6,0,0,"Ridge Farm, IL",39.8955918,-87.6519669
11203,17,0,0,,7,10,291,42,244,5,0,"River Forest, IL",41.8939617,-87.8198478
10216,11,1,4,,3,3,149,37,97,15,0,"River Grove, IL",41.9258642,-87.8358943
8826,13,0,1,,0,12,118,26,90,2,1,"Riverside, IL",41.8350316,-87.8228357
3463,14,0,2,,2,10,70,12,53,5,0,"Riverton, IL",39.8442164,-89.5395417
3639,3,0,1,,0,2,26,5,19,2,0,"Riverwoods, IL",42.1675254,-87.897014
7616,31,0,2,,0,29,106,13,88,5,1,"Robinson, IL",39.0053201,-87.7391935
3794,4,0,1,,0,3,9,0,8,1,0,"Rochester, IL",39.7494943,-89.5317603
1942,2,0,1,,0,1,3,0,1,2,0,"Rockdale, IL",41.5061419,-88.1145036
9027,35,0,1,,4,30,119,60,57,2,0,"Rock Falls, IL",41.7797533,-89.6889967
147363,2444,26,137,,536,1745,5565,1406,3696,463,78,"Rockford, IL",42.2711311,-89.0939952
38543,158,4,6,,23,125,1042,175,782,85,6,"Rock Island, IL",41.5094771,-90.5787476
7494,7,0,2,,0,5,163,11,150,2,1,"Rockton, IL",42.4525157,-89.0723317
24205,16,0,6,,2,8,284,12,266,6,0,"Rolling Meadows, IL",42.0841936,-88.0131275
39727,45,0,8,,14,23,623,61,544,18,2,"Romeoville, IL",41.6475306,-88.0895061
10523,9,0,0,,0,9,130,55,73,2,0,"Roscoe, IL",42.4133505,-89.0092741
23037,18,0,11,,2,5,190,29,157,4,3,"Roselle, IL",41.9847504,-88.0797933
4206,25,0,5,,4,16,279,8,263,8,86,"Rosemont, IL",41.9867507,-87.8721602
18484,19,0,5,,5,9,133,24,107,2,0,"Round Lake, IL",42.353355,-88.0934145
27796,38,0,10,,6,22,581,44,527,10,1,"Round Lake Beach, IL",42.3716881,-88.0900815
2713,5,0,1,,1,3,24,1,23,0,0,"Round Lake Heights, IL",42.3800212,-88.1042489
7415,5,0,0,,0,5,83,20,56,7,0,"Round Lake Park, IL",42.3569661,-88.0767474
1472,6,0,1,,1,4,31,9,22,0,0,"Roxana, IL",38.846767,-90.0607398
1135,1,0,0,,0,1,10,5,4,1,0,"Royalton, IL",37.8769946,-89.1145223
315,0,0,0,,0,0,1,0,1,0,0,"Ruma, IL",38.1350512,-89.9978864
2927,4,0,2,,0,2,30,7,23,0,0,"Rushville, IL",40.1211577,-90.5631829
7249,21,0,1,,3,17,379,49,316,14,2,"Salem, IL",38.6269929,-88.9456158
1221,8,0,3,,3,2,29,8,20,1,5,"Sandoval, IL",38.6156043,-89.1142343
7355,8,0,5,,0,3,48,10,38,0,0,"Sandwich, IL",41.6458634,-88.6217432
151,4,1,0,,1,2,64,0,53,11,0,"Sauget, IL",38.5964402,-90.1848331
10489,54,2,10,,11,31,117,38,56,23,3,"Sauk Village, IL",41.4883685,-87.5675414
2845,10,0,2,,0,8,83,17,63,3,0,"Savanna, IL",42.0944671,-90.1567944
74774,74,0,23,,21,30,1685,108,1526,51,4,"Schaumburg, IL",42.0333607,-88.0834059
11807,19,0,10,,6,3,229,41,161,27,0,"Schiller Park, IL",41.9558637,-87.8708965
703,0,0,0,,0,0,0,0,0,0,0,"Shannon, IL",42.1547457,-89.7398389
1150,4,0,0,,1,3,13,3,9,1,0,"Shawneetown, IL",37.713102,-88.1867027
4697,1,0,0,,0,1,17,9,8,0,0,"Sherman, IL",39.8936608,-89.6048231
13056,29,0,4,,7,18,223,38,177,8,1,"Shiloh, IL",38.5614383,-89.8973233
16968,29,0,10,,2,17,174,30,138,6,0,"Shorewood, IL",41.5200305,-88.2017293
587,0,0,0,,0,0,0,0,0,0,0,"Sidell, IL",39.9097575,-87.8211393
7487,24,0,5,,2,17,295,38,255,2,0,"Silvis, IL",41.5122561,-90.4151301
64819,158,1,15,,45,97,1557,228,1283,46,5,"Skokie, IL",42.0324025,-87.7416246
3354,0,0,0,,0,0,10,1,9,0,0,"Sleepy Hollow, IL",42.0941923,-88.3025806
3724,0,0,0,,0,0,16,2,14,0,0,"Smithton, IL",38.4086616,-89.9920501
4955,2,0,0,,0,2,47,10,35,2,0,"South Barrington, IL",42.0881054,-88.1535352
7639,18,0,1,,8,9,117,26,87,4,0,"South Beloit, IL",42.4930708,-89.0367763
4137,19,0,0,,7,12,155,16,128,11,3,"South Chicago Heights, IL",41.4808681,-87.6378211
22436,27,0,8,,3,16,262,18,239,5,0,"South Elgin, IL",41.9941938,-88.2922996
22042,83,2,20,,43,18,479,86,332,61,1,"South Holland, IL",41.6008681,-87.6069894
1115,2,0,0,,0,2,14,3,10,1,0,"South Pekin, IL",40.4944838,-89.6517711
1986,16,0,5,,2,9,49,22,27,0,0,"South Roxana, IL",38.8294924,-90.0628834
116563,1301,6,99,,249,947,5158,1250,3681,227,45,"Springfield, IL",39.7817213,-89.6501481
5698,3,0,3,,0,0,35,2,30,3,0,"Spring Grove, IL",42.4436308,-88.2364775
5269,2,0,1,,0,1,79,18,58,3,0,"Spring Valley, IL",41.3275352,-89.1998076
579,0,0,0,,0,0,2,1,1,0,0,"Stanford, IL",40.4347608,-89.2178643
1213,2,0,0,,2,0,43,15,25,3,1,"St. Anne, IL",41.0229518,-87.7181619
4981,11,0,1,,1,9,65,11,52,2,0,"Staunton, IL",39.0122684,-89.7912063
33556,44,0,6,,4,34,432,52,367,13,2,"St. Charles, IL",41.9141945,-88.3086867
9502,20,0,1,,9,10,288,38,233,17,2,"Steger, IL",41.4700348,-87.636432
1402,14,0,1,,0,13,44,15,27,2,0,"St. Elmo, IL",39.0262351,-88.8537254
14983,39,0,14,,5,20,511,48,449,14,3,"Sterling, IL",41.788642,-89.6962194
6785,6,1,1,,1,3,73,3,58,12,1,"Stickney, IL",41.8177521,-87.7923613
1778,6,0,1,,0,5,41,9,30,2,0,"Stockton, IL",42.3497355,-90.0067916
13082,32,0,17,,4,11,357,67,279,11,14,"Streator, IL",41.1208668,-88.835352
11457,38,1,1,,14,22,216,27,145,44,4,"Summit, IL",41.7880876,-87.810334
13533,19,0,6,,5,8,263,47,203,13,0,"Swansea, IL",38.5339392,-89.9889936
17750,12,0,3,,1,8,257,15,235,7,5,"Sycamore, IL",41.9889173,-88.6867538
10795,4,0,1,,0,3,136,26,107,3,0,"Taylorville, IL",39.548935,-89.294533
2513,3,0,1,,1,1,38,7,30,1,0,"Thornton, IL",41.5680904,-87.6080999
2607,10,0,1,,0,9,55,19,34,2,0,"Tilton, IL",40.0953144,-87.6475212
57213,48,0,6,,11,31,766,86,652,28,2,"Tinley Park, IL",41.5731442,-87.7932939
3483,4,0,1,,0,3,30,9,21,0,0,"Tolono, IL",39.9861415,-88.2589387
1314,0,0,0,,0,0,13,5,8,0,0,"Toluca, IL",41.0022556,-89.133416
732,0,0,0,,0,0,7,4,3,0,0,"Tonica, IL",41.2158684,-89.0667488
1251,0,0,0,,0,0,1,0,1,0,0,"Tower Lakes, IL",42.2338015,-88.1559741
10063,15,0,6,,0,9,73,14,58,1,0,"Troy, IL",38.7292147,-89.8831541
4437,25,0,2,,0,23,72,16,54,2,0,"Tuscola, IL",39.7991985,-88.2831038
42461,162,4,25,,54,79,1543,327,1185,31,8,"Urbana, IL",40.1105875,-88.2072697
1260,1,0,0,,0,1,8,1,7,0,0,"Valmeyer, IL",38.3107613,-90.2806986
26574,19,0,4,,7,8,378,20,355,3,1,"Vernon Hills, IL",42.2393323,-87.9653565
1696,0,0,0,,0,0,7,1,5,1,0,"Vienna, IL",37.4153295,-88.8978434
21976,23,0,2,,7,14,341,34,284,23,0,"Villa Park, IL",41.8897519,-87.9889543
3384,15,0,3,,1,11,90,26,59,5,0,"Virden, IL",39.5008866,-89.7678746
1338,0,0,0,,0,0,3,0,2,1,0,"Walnut, IL",41.5567012,-89.5934315
1366,0,0,0,,0,0,1,0,1,0,0,"Warren, IL",42.4963957,-89.9895681
1154,3,0,0,,0,3,7,2,5,0,0,"Warrensburg, IL",39.9328162,-89.0620278
13342,11,0,7,,3,1,132,14,113,5,0,"Warrenville, IL",41.817807,-88.1734021
1541,3,0,0,,1,2,14,3,11,0,1,"Warsaw, IL",40.359211,-91.4345978
16965,14,0,0,,2,12,178,35,141,2,0,"Washington, IL",40.7036482,-89.4073123
10284,3,0,0,,0,3,34,0,34,0,0,"Waterloo, IL",38.3358857,-90.1498341
5027,15,0,4,,2,9,153,27,121,5,0,"Watseka, IL",40.7761465,-87.7364218
88337,449,1,9,,195,244,2287,509,1670,108,7,"Waukegan, IL",42.3636331,-87.8447938
1261,1,0,0,,0,1,4,0,4,0,1,"Waverly, IL",39.5917158,-89.9528847
2450,0,0,0,,0,0,12,8,3,1,0,"Wayne, IL",41.9508336,-88.242369
16729,23,0,1,,14,8,257,35,207,15,1,"Westchester, IL",41.8498339,-87.8806738
27490,34,0,6,,10,18,293,46,233,14,2,"West Chicago, IL",41.8847507,-88.2039607
652,0,0,0,,0,0,85,5,80,0,0,"West City, IL",37.9967935,-88.9323577
7406,4,0,2,,2,0,103,4,99,0,0,"West Dundee, IL",42.0980812,-88.2828581
13446,0,0,0,,0,0,35,5,28,2,1,"Western Springs, IL",41.8097532,-87.9006155
8044,5,0,0,,5,0,191,63,110,18,3,"West Frankfort, IL",37.8985966,-88.9233622
24992,22,0,4,,5,13,292,39,243,10,2,"Westmont, IL",41.7958639,-87.9756175
3087,5,0,1,,1,3,31,17,13,1,1,"Westville, IL",40.0422589,-87.6386322
53848,32,0,5,,11,16,332,54,276,2,1,"Wheaton, IL",41.8661403,-88.1070127
38158,47,0,5,,5,37,424,60,348,16,1,"Wheeling, IL",42.1391927,-87.9289591
2389,5,0,1,,0,4,33,15,18,0,0,"White Hall, IL",39.4369917,-90.403177
8625,7,0,1,,3,3,163,17,141,5,0,"Willowbrook, IL",41.7697533,-87.9358931
5701,3,0,0,,3,0,28,5,20,3,0,"Willow Springs, IL",41.7408652,-87.8603343
27474,11,0,3,,3,5,308,51,246,11,3,"Wilmette, IL",42.0722513,-87.7228384
5683,13,0,6,,1,6,52,6,38,8,0,"Wilmington, IL",41.3078093,-88.1467243
9763,3,0,0,,0,3,57,9,48,0,1,"Winfield, IL",41.8616956,-88.1609031
2995,2,0,0,,0,2,49,2,46,1,0,"Winnebago, IL",42.2661311,-89.2412202
12526,5,0,0,,0,5,87,10,69,8,0,"Winnetka, IL",42.1080834,-87.735895
6803,6,0,2,,1,3,37,8,29,0,0,"Winthrop Harbor, IL",42.4789097,-87.8236841
866,0,0,0,,0,0,4,4,0,0,0,"Witt, IL",39.2564351,-89.3481413
3912,5,0,1,,2,2,30,4,24,2,0,"Wonder Lake, IL",42.3852983,-88.3473126
13943,6,0,1,,5,0,185,16,161,8,0,"Wood Dale, IL",41.9633625,-87.9789562
33441,37,0,14,,15,8,446,48,386,12,3,"Woodridge, IL",41.7469749,-88.0503406
10225,37,0,7,,10,20,371,55,289,27,0,"Wood River, IL",38.861159,-90.0976069
25259,34,0,6,,8,20,402,29,360,13,3,"Woodstock, IL",42.3147436,-88.4487021
10781,24,0,5,,5,14,114,18,84,12,1,"Worth, IL",41.6897548,-87.7972754
666,0,0,0,,0,0,15,1,14,0,0,"Yates City, IL",40.7786485,-90.0148371
18752,13,0,4,,5,4,170,28,131,11,1,"Yorkville, IL",41.6411409,-88.4472948
1758,2,0,0,,0,2,18,5,12,1,0,"Zeigler, IL",37.8994945,-89.0520194
24067,169,2,37,,31,99,607,127,449,31,10,"Zion, IL",42.4461322,-87.8328505
