Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,
,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,
,,manslaughter,definition1),definition2),,,,,,theft,,,,
3211,10,0,0,,2,8,59,5,53,1,0,"Carlyle, IL",38.6103264,-89.3725796
40473,36,0,3,,7,26,306,32,251,23,5,"Carol Stream, IL",41.9125286,-88.1347927
38664,31,1,14,,12,4,668,113,539,16,3,"Carpentersville, IL",42.1211364,-88.2578582
2418,15,0,3,,0,12,27,3,24,0,0,"Carrollton, IL",39.3022693,-90.4070632
5881,8,0,1,,0,7,55,11,39,5,0,"Carterville, IL",37.7600501,-89.0772991
2534,1,0,0,,0,1,20,12,7,1,0,"Carthage, IL",40.416433,-91.1362537
17903,20,0,1,,1,18,75,17,54,4,1,"Cary, IL",42.2132499,-88.247685
4003,31,0,4,,5,22,106,25,72,9,0,"Caseyville, IL",38.6367162,-90.0256606
2000,3,0,0,,0,3,8,6,2,0,0,"Catlin, IL",40.0650363,-87.7019675
4970,91,1,6,,15,69,172,70,83,19,0,"Centreville, IL",38.5734689,-90.1198888
87071,625,3,41,,124,457,2838,728,1979,131,3,"Champaign, IL",40.1164204,-88.2433829
12597,1,0,0,,0,1,34,6,27,1,0,"Channahon, IL",41.4294753,-88.2286735
21067,79,0,4,,12,63,121,40,76,5,1,"Charleston, IL",39.4961458,-88.1761521
12497,16,0,2,,0,14,71,12,56,3,0,"Chatham, IL",39.676163,-89.7045439
3199,4,0,0,,1,3,18,3,15,0,0,"Chenoa, IL",40.7417013,-88.7197856
3086,18,0,4,,1,13,240,9,227,4,0,"Cherry Valley, IL",42.2347434,-88.9489912
8590,18,1,1,,0,16,54,4,49,1,0,"Chester, IL",37.9136628,-89.8220505
2725153,30126,765,1589,,11957,15815,86960,14258,61229,11473,590,"Chicago, IL",41.8781136,-87.6297982
30273,175,6,28,,74,67,805,126,597,82,37,"Chicago Heights, IL",41.506146,-87.6355995
14383,29,0,2,,18,9,575,22,531,22,1,"Chicago Ridge, IL",41.7014217,-87.7792196
6253,21,0,5,,3,13,106,10,94,2,0,"Chillicothe, IL",40.9222589,-89.4862025
2771,2,1,1,,0,0,18,5,13,0,0,"Christopher, IL",37.9725501,-89.053408
83807,264,1,17,,148,98,1713,284,1147,282,28,"Cicero, IL",41.8455877,-87.7539448
8724,6,0,0,,1,5,32,9,23,0,1,"Clarendon Hills, IL",41.7975307,-87.9547835
5469,5,0,0,,1,4,72,6,66,0,0,"Coal City, IL",41.2878096,-88.2856185
3753,4,0,1,,0,3,51,18,33,0,0,"Coal Valley, IL",41.4286456,-90.4609648
1136,4,0,0,,0,4,13,5,7,1,0,"Cobden, IL",37.5314386,-89.253418
1325,0,0,0,,0,0,0,0,0,0,0,"Colchester, IL",40.4264306,-90.7926324
24599,53,0,10,,9,34,736,109,586,41,2,"Collinsville, IL",38.6703266,-89.9845476
5096,6,0,0,,0,6,61,18,42,1,0,"Colona, IL",41.4839233,-90.3531827
10288,1,0,0,,0,1,79,22,52,5,0,"Columbia, IL",38.4436637,-90.2012239
4331,2,0,0,,0,2,51,2,49,0,0,"Cortland, IL",41.9200288,-88.6886963
16844,74,1,6,,44,23,416,55,332,29,2,"Country Club Hills, IL",41.5680898,-87.7203257
6015,7,0,0,,0,7,200,8,181,11,0,"Countryside, IL",41.766022,-87.879523
577,0,0,0,,0,0,5,1,3,1,0,"Cowden, IL",39.2483753,-88.8622895
21211,28,0,5,,9,14,212,41,157,14,3,"Crest Hill, IL",41.554753,-88.0986709
8171,16,0,0,,5,11,140,27,108,5,0,"Crete, IL",41.4444791,-87.6314312
5235,45,0,2,,4,39,154,20,130,4,0,"Creve Coeur, IL",40.6472603,-89.5912098
40374,44,0,8,,4,32,624,56,561,7,3,"Crystal Lake, IL",42.2411344,-88.3161965
31931,502,0,47,,88,367,1894,646,1185,63,7,"Danville, IL",40.124481,-87.6300207
22285,6,0,3,,2,1,366,47,309,10,1,"Darien, IL",41.7483483,-87.9737943
635,0,0,0,,0,0,0,0,0,0,0,"Davis, IL",42.4225149,-89.4137259
72694,392,3,45,,97,247,2657,859,1700,98,16,"Decatur, IL",39.8403147,-88.9548001
678,1,0,0,,1,0,6,1,5,0,0,"Deer Creek, IL",40.6300374,-89.3325885
19176,5,0,1,,1,3,123,17,103,3,0,"Deerfield, IL",42.1711365,-87.8445119
43034,223,3,53,,34,133,1438,203,1203,32,8,"De Kalb, IL",41.9295355,-88.7499128
1622,5,0,0,,0,5,50,9,34,7,2,"Delavan, IL",40.3725414,-89.5473245
1726,0,0,0,,0,0,20,4,16,0,0,"De Pue, IL",41.3242061,-89.3074244
