62,Niles,30912,42.0189191,-87.8028402,Niles_IL,42.0189191,-87.8028402
63,North Chicago,30759,42.325578,-87.8411818,North Chicago_IL,42.325578,-87.8411818
64,Gurnee,30706,42.3702996,-87.9020186,Gurnee_IL,42.3702996,-87.9020186
65,Highland Park,30176,42.1816918,-87.8003437,Highland Park_IL,42.1816918,-87.8003437
66,Galesburg,30052,40.9478158,-90.3712395,Galesburg_IL,40.9478158,-90.3712395
67,Algonquin,29700,42.1655801,-88.2942493,Algonquin_IL,42.1655801,-88.2942493
68,Burbank,29439,41.7467619,-87.760738,Burbank_IL,41.7467619,-87.760738
69,Danville,29204,40.124481,-87.6300207,Danville_IL,40.124481,-87.6300207
70,Lansing,29076,41.5647575,-87.538931,Lansing_IL,41.5647575,-87.538931
71,Lake in the Hills,28982,42.1816908,-88.3303618,Lake in the Hills_IL,42.1816908,-88.3303618
72,Glen Ellyn,28846,41.8775293,-88.0670118,Glen Ellyn_IL,41.8775293,-88.0670118
73,Wilmette,28170,42.0722513,-87.7228384,Wilmette_IL,42.0722513,-87.7228384
74,Huntley,27740,42.1680796,-88.4281415,Huntley_IL,42.1680796,-88.4281415
75,Granite City,27549,38.7014389,-90.1487199,Granite City_IL,38.7014389,-90.1487199
76,Chicago Heights,27480,41.506146,-87.6355995,Chicago Heights_IL,41.506146,-87.6355995
77,Oak Forest,27478,41.6028116,-87.7439384,Oak Forest_IL,41.6028116,-87.7439384
78,Round Lake Beach,27252,42.3716881,-88.0900815,Round Lake Beach_IL,42.3716881,-88.0900815
79,New Lenox,27214,41.5119761,-87.9656098,New Lenox_IL,41.5119761,-87.9656098
80,McHenry,27135,42.333355,-88.2667534,McHenry_IL,42.333355,-88.2667534
81,Vernon Hills,26850,42.2393323,-87.9653565,Vernon Hills_IL,42.2393323,-87.9653565
82,Edwardsville,26808,38.8114364,-89.953157,Edwardsville_IL,38.8114364,-89.953157
83,Batavia,26098,41.8500284,-88.3125738,Batavia_IL,41.8500284,-88.3125738
84,Lockport,26094,41.5894752,-88.057837,Lockport_IL,41.5894752,-88.057837
85,Alton,25676,38.8906038,-90.1842764,Alton_IL,38.8906038,-90.1842764
86,Woodstock,25630,42.3147436,-88.4487021,Woodstock_IL,42.3147436,-88.4487021
87,West Chicago,25614,41.8847507,-88.2039607,West Chicago_IL,41.8847507,-88.2039607
88,Belvidere,25339,42.2639098,-88.8442674,Belvidere_IL,42.2639098,-88.8442674
89,Morton Grove,25297,42.0405852,-87.7825621,Morton Grove_IL,42.0405852,-87.7825621
90,Melrose Park,24796,41.9005865,-87.8567276,Melrose Park_IL,41.9005865,-87.8567276
91,Zion,24655,42.4461322,-87.8328505,Zion_IL,42.4461322,-87.8328505
92,Homer Glen,24543,41.6000317,-87.9381112,Homer Glen_IL,41.6000317,-87.9381112
93,Elmwood Park,24521,41.9211423,-87.8092266,Elmwood Park_IL,41.9211423,-87.8092266
94,Westmont,24429,41.7958639,-87.9756175,Westmont_IL,41.7958639,-87.9756175
95,Collinsville,24366,38.6703266,-89.9845476,Collinsville_IL,38.6703266,-89.9845476
96,Lisle,24223,41.801141,-88.0747875,Lisle_IL,41.801141,-88.0747875
97,Rolling Meadows,24200,42.0841936,-88.0131275,Rolling Meadows_IL,42.0841936,-88.0131275
98,Kankakee,24052,41.1200325,-87.8611531,Kankakee_IL,41.1200325,-87.8611531
99,Freeport,23973,42.2966861,-89.6212271,Freeport_IL,42.2966861,-89.6212271
100,South Elgin,23865,41.9941938,-88.2922996,South Elgin_IL,41.9941938,-88.2922996
101,Maywood,23512,41.8791979,-87.8431155,Maywood_IL,41.8791979,-87.8431155
102,Loves Park,23397,42.3200189,-89.0581621,Loves Park_IL,42.3200189,-89.0581621
103,Machesney Park,22950,42.3472406,-89.0389956,Machesney Park_IL,42.3472406,-89.0389956
104,Roselle,22897,41.9847504,-88.0797933,Roselle_IL,41.9847504,-88.0797933
105,Blue Island,22558,41.6572562,-87.6800486,Blue Island_IL,41.6572562,-87.6800486
106,East Peoria,22484,40.666149,-89.5800978,East Peoria_IL,40.666149,-89.5800978
107,Bloomingdale,22382,41.9575285,-88.0809036,Bloomingdale_IL,41.9575285,-88.0809036
108,Villa Park,22263,41.8897519,-87.9889543,Villa Park_IL,41.8897519,-87.9889543
109,Darien,22011,41.7483483,-87.9737943,Darien_IL,41.7483483,-87.9737943
110,Carbondale,21857,37.7272727,-89.2167501,Carbondale_IL,37.7272727,-89.2167501
111,Park Forest,21687,41.4914236,-87.6744891,Park Forest_IL,41.4914236,-87.6744891
112,Yorkville,21533,41.6411409,-88.4472948,Yorkville_IL,41.6411409,-88.4472948
113,South Holland,21465,41.6008681,-87.6069894,South Holland_IL,41.6008681,-87.6069894
114,Dolton,21426,41.6389236,-87.607268,Dolton_IL,41.6389236,-87.607268
115,Geneva,21393,41.8926437,-88.3287896,Geneva_IL,41.8926437,-88.3287896
116,East Moline,21374,41.5008673,-90.4442979,East Moline_IL,41.5008673,-90.4442979
117,Grayslake,21248,42.3444664,-88.041746,Grayslake_IL,42.3444664,-88.041746
118,Libertyville,20579,42.2830786,-87.9531303,Libertyville_IL,42.2830786,-87.9531303
119,Crest Hill,20459,41.554753,-88.0986709,Crest Hill_IL,41.554753,-88.0986709
120,Harvey,20324,41.6100344,-87.6467131,Harvey_IL,41.6100344,-87.6467131
121,Frankfort,20296,41.4958665,-87.8486613,Frankfort_IL,41.4958665,-87.8486613
122,Montgomery,20262,41.730585,-88.3459048,Montgomery_IL,41.730585,-88.3459048
123,Evergreen Park,19943,41.7205889,-87.7017175,Evergreen Park_IL,41.7205889,-87.7017175
124,Mokena,19887,41.5261437,-87.8892189,Mokena_IL,41.5261437,-87.8892189
125,Lake Zurich,19759,42.1969689,-88.0934108,Lake Zurich_IL,42.1969689,-88.0934108
126,Brookfield,19476,41.8239203,-87.8517253,Brookfield_IL,41.8239203,-87.8517253
127,Homewood,19463,41.5676825,-87.6541852,Homewood_IL,41.5676825,-87.6541852
128,Lake Forest,19367,42.2586342,-87.840625,Lake Forest_IL,42.2586342,-87.840625
129,Deerfield,19196,42.1711365,-87.8445119,Deerfield_IL,42.1711365,-87.8445119
130,Matteson,19073,41.5039235,-87.7131018,Matteson_IL,41.5039235,-87.7131018
131,Alsip,19063,41.6689223,-87.7386619,Alsip_IL,41.6689223,-87.7386619
132,Ottawa,18840,41.3455892,-88.8425769,Ottawa_IL,41.3455892,-88.8425769
133,Bensenville,18813,41.9550296,-87.9400657,Bensenville_IL,41.9550296,-87.9400657
134,Bellwood,18789,41.8814197,-87.883117,Bellwood_IL,41.8814197,-87.883117
135,Round Lake,18721,42.353355,-88.0934145,Round Lake_IL,42.353355,-88.0934145
136,Sycamore,18577,41.9889173,-88.6867538,Sycamore_IL,41.9889173,-88.6867538
137,Palos Hills,18530,41.6966992,-87.8169984,Palos Hills_IL,41.6966992,-87.8169984
138,East St. Louis,18469,38.624514,-90.1506465,East St. Louis_IL,38.624514,-90.1506465
139,Franklin Park,18467,41.9348537,-87.879523,Franklin Park_IL,41.9348537,-87.879523
140,North Aurora,18261,41.8061399,-88.3272952,North Aurora_IL,41.8061399,-88.3272952
141,Shorewood,18186,41.5200305,-88.2017293,Shorewood_IL,41.5200305,-88.2017293
142,Bourbonnais,18164,41.1760108,-87.879523,Bourbonnais_IL,41.1760108,-87.879523
143,Cary,17826,42.2132499,-88.247685,Cary_IL,42.2132499,-88.247685
144,Godfrey,17825,38.9556031,-90.1867764,Godfrey_IL,38.9556031,-90.1867764
145,Lemont,17629,41.673642,-88.0017261,Lemont_IL,41.673642,-88.0017261
146,Jacksonville,17616,39.733936,-90.2290098,Jacksonville_IL,39.733936,-90.2290098
147,Hinsdale,17395,41.8008642,-87.9370052,Hinsdale_IL,41.8008642,-87.9370052
148,Charleston,17286,39.4961458,-88.1761521,Charleston_IL,39.4961458,-88.1761521
149,Morton,17117,40.6128161,-89.4592609,Morton_IL,40.6128161,-89.4592609
150,Bridgeview,17027,41.7500323,-87.8042216,Bridgeview_IL,41.7500323,-87.8042216
151,Westchester,16892,41.8498339,-87.8806738,Westchester_IL,41.8498339,-87.8806738
152,Mattoon,16870,39.4830897,-88.3728255,Mattoon_IL,39.4830897,-88.3728255
153,Marion,16855,37.7306054,-88.9331256,Marion_IL,37.7306054,-88.9331256
154,Country Club Hills,16775,41.5680898,-87.7203257,Country Club Hills_IL,41.5680898,-87.7203257
155,Fairview Heights,16706,38.5889386,-89.990382,Fairview Heights_IL,38.5889386,-89.990382
156,La Grange,16321,41.8050314,-87.8692254,La Grange_IL,41.8050314,-87.8692254
157,Washington,16071,40.7036482,-89.4073123,Washington_IL,40.7036482,-89.4073123
158,Prospect Heights,16058,42.0953049,-87.9375694,Prospect Heights_IL,42.0953049,-87.9375694
159,Bradley,15419,41.1419768,-87.8611535,Bradley_IL,41.1419768,-87.8611535
160,Dixon,15274,41.8389213,-89.4795478,Dixon_IL,41.8389213,-89.4795478
161,Norridge,15251,41.9633641,-87.827284,Norridge_IL,41.9633641,-87.827284
162,Macomb,15051,40.4592076,-90.6717971,Macomb_IL,40.4592076,-90.6717971
163,Sterling,14764,41.788642,-89.6962194,Sterling_IL,41.788642,-89.6962194
164,Antioch,14622,42.4772418,-88.0956396,Antioch_IL,42.4772418,-88.0956396
165,Mount Vernon,14600,38.3172714,-88.9031201,Mount Vernon_IL,38.3172714,-88.9031201
166,Hickory Hills,14505,41.7255879,-87.825055,Hickory Hills_IL,41.7255879,-87.825055
167,Chicago Ridge,14433,41.7014217,-87.7792196,Chicago Ridge_IL,41.7014217,-87.7792196
168,Lindenhurst,14406,42.4105765,-88.0261911,Lindenhurst_IL,42.4105765,-88.0261911
169,Swansea,14386,38.5339392,-89.9889936,Swansea_IL,38.5339392,-89.9889936
170,Chatham,14377,39.676163,-89.7045439,Chatham_IL,39.676163,-89.7045439
171,Forest Park,14339,41.8794758,-87.81367,Forest Park_IL,41.8794758,-87.81367
172,Midlothian,14325,41.6253116,-87.7175491,Midlothian_IL,41.6253116,-87.7175491
173,Beach Park,14249,42.4222435,-87.8572955,Beach Park_IL,42.4222435,-87.8572955
174,Morris,14163,41.357254,-88.4211785,Morris_IL,41.357254,-88.4211785
175,Shiloh,14098,38.5614383,-89.8973233,Shiloh_IL,38.5614383,-89.8973233
176,Wauconda,14084,42.2589122,-88.1392474,Wauconda_IL,42.2589122,-88.1392474
177,Wood Dale,14012,41.9633625,-87.9789562,Wood Dale_IL,41.9633625,-87.9789562
178,Glen Carbon,13842,38.7483814,-89.983158,Glen Carbon_IL,38.7483814,-89.983158
179,Western Springs,13629,41.8097532,-87.9006155,Western Springs_IL,41.8097532,-87.9006155
180,Warrenville,13553,41.817807,-88.1734021,Warrenville_IL,41.817807,-88.1734021
181,La Grange Park,13475,41.8347535,-87.861726,La Grange Park_IL,41.8347535,-87.861726
182,Lincolnwood,13463,42.0044757,-87.7300594,Lincolnwood_IL,42.0044757,-87.7300594
183,Channahon,13383,41.4294753,-88.2286735,Channahon_IL,41.4294753,-88.2286735
184,Hazel Crest,13382,41.571701,-87.6944915,Hazel Crest_IL,41.571701,-87.6944915
185,Lincoln,13288,40.1483768,-89.3648183,Lincoln_IL,40.1483768,-89.3648183
186,Canton,13242,40.6331249,-89.3985283,Canton_IL,40.6331249,-89.3985283
187,Northlake,12840,41.9172526,-87.8956185,Northlake_IL,41.9172526,-87.8956185
188,Richton Park,12775,41.484479,-87.7033787,Richton Park_IL,41.484479,-87.7033787
189,Minooka,12758,41.4553084,-88.2617305,Minooka_IL,41.4553084,-88.2617305
